program,year,gender,primary_location,library_usage,daily_study_hours,study_routine,productivity_home,productivity_library,productivity_class,productivity_boosters,easily_distracted,main_distractions,library_visit_reasons,avoid_library_reasons,exam_study_intensity,exam_location_change
B.Tech,Year 2,Male,Hostel,Never,<2 hrs,No,3,0,2,"No distractions, Studying with others, Fixed routine",Yes,"Mobile phone, Social media, Lack of motivation",I don't go,"Prefer studying at home/hostel, Not useful for me",Slightly more,No change
B.Tech,Year 2,Male,Hostel,Rarely,<2 hrs,No,3,2,5,"Quiet environment, Comfortable seating",Yes,"Mobile phone, Noise, Friends / Social interaction, Social media, Uncomfortable environment","Better focus, Quiet environment",Time constraints,Significantly more,Yes - Hostel
B.Tech,Year 2,Male,Hostel,Never,<2 hrs,No,2,0,1,"Quiet environment, No distractions, Listening to Music",Yes,"Mobile phone, Noise, Lack of motivation",I don't go,"Prefer studying at home/hostel, Library is crowded",Significantly more,No change
B.Tech,Year 2,Male,Hostel,Rarely,<2 hrs,No,5,1,4,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi), Studying with others, Listening to Music",Yes,"Mobile phone, Noise, Friends / Social interaction, Social media, Uncomfortable environment",I don't go,"Prefer studying at home/hostel, Not comfortable, Not useful for me, Too far",Significantly more,Yes - Hostel
B.Tech,Year 2,Male,Library,Sometimes,<2 hrs,During Exams,3,4,2,"Quiet environment, Comfortable seating, Access to resources (books/Wi-Fi), Listening to Music",Yes,"Mobile phone, Friends / Social interaction, Social media","Better focus, Quiet environment, Resources available",Library is crowded,Significantly more,Yes - Library
B.Tech,Year 2,Male,Hostel,Never,>4 hrs,Yes,5,0,2,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi), Studying with others, Listening to Music, Fixed routine",Sometimes,"Mobile phone, Noise, Uncomfortable environment",I don't go,"Prefer studying at home/hostel, Not comfortable, Not useful for me, Time constraints, Too far",Significantly more,Yes - Hostel
B.Tech,Year 1,Male,Hostel,Rarely,<2 hrs,No,2,2,2,"Quiet environment, Comfortable seating, Access to resources (books/Wi-Fi)",Yes,"Mobile phone, Friends / Social interaction, Social media, Lack of motivation",I don't go,"Prefer studying at home/hostel, Not comfortable",Slightly more,No change
B.Tech,Year 2,Male,Hostel,Rarely,<2 hrs,During Exams,5,0,3,"Comfortable seating, Access to resources (books/Wi-Fi)",No,Uncomfortable environment,I don't go,Too far,Significantly more,No change
B.Tech,Year 3,Male,Hostel,Never,<2 hrs,During Exams,4,5,0,Studying with others,Sometimes,Lack of motivation,Peer motivation,"Prefer studying at home/hostel, Library is crowded",Significantly more,No change
B.Tech,Year 1,Male,Hostel,Rarely,2-4 hrs,No,5,3,5,"Comfortable seating, Access to resources (books/Wi-Fi), Listening to Music",Sometimes,Uncomfortable environment,"Resources available, I don't go","Time constraints, Too far",Significantly more,No change
B.Tech,Year 2,Male,Hostel,Rarely,2-4 hrs,No,4,5,1,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi)",Sometimes,"Mobile phone, Friends / Social interaction, Social media, Lack of motivation",Quiet environment,"Prefer studying at home/hostel, Library is crowded",Significantly more,Yes - Library
B.Tech,Year 2,Male,Hostel,Sometimes,2-4 hrs,No,3,4,2,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi)",Yes,"Mobile phone, Noise, Friends / Social interaction, Social media, Lack of motivation, Uncomfortable environment","Better focus, Quiet environment, Peer motivation","Prefer studying at home/hostel, Library is crowded",Significantly more,No change
B.Tech,Year 1,Male,Hostel,Rarely,<2 hrs,During Exams,2,2,4,"Quiet environment, Comfortable seating, Access to resources (books/Wi-Fi)",Sometimes,"Mobile phone, Noise, Friends / Social interaction, Uncomfortable environment","Resources available, I don't go","Library is crowded, Too far",Significantly more,Yes - Hostel
B.Tech,Year 3,Male,Hostel,Sometimes,<2 hrs,No,2,4,0,"No distractions, Comfortable seating, Access to resources (books/Wi-Fi), Listening to Music",Yes,"Mobile phone, Lack of motivation","Better focus, Quiet environment",Too far,Slightly more,Yes - Library
B.Tech,Year 3,Male,Library,Regularly,2-4 hrs,No,0,5,4,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi)",Yes,"Mobile phone, Noise, Friends / Social interaction, Social media, Uncomfortable environment","Better focus, Quiet environment",Time constraints,Significantly more,Yes - Library
B.Tech,Year 3,Male,Hostel,Never,<2 hrs,No,2,1,2,"Studying with others, Listening to Music",Yes,"Mobile phone, Noise",I don't go,Library is crowded,Significantly more,No change
B.Tech,Year 3,Male,Hostel,Never,<2 hrs,No,5,0,0,Access to resources (books/Wi-Fi),Yes,"Mobile phone, Friends / Social interaction, Social media",I don't go,"Prefer studying at home/hostel, Not comfortable, Not useful for me, Too far",Significantly more,No change
B.Tech,Year 2,Male,Hostel,Never,<2 hrs,During Exams,5,0,5,"Quiet environment, Comfortable seating, Access to resources (books/Wi-Fi), Studying with others",Yes,"Mobile phone, Friends / Social interaction","Better focus, Quiet environment, Peer motivation, Resources available, Habit",Library is crowded,Significantly more,Yes - Hostel
B.Tech,Year 1,Male,Library,Regularly,>4 hrs,No,2,4,0,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi), Listening to Music",Yes,"Social media, Lack of motivation","Better focus, Quiet environment, Resources available",Too far,Significantly more,No change
B.Tech,Year 2,Male,Library,Regularly,>4 hrs,No,1,5,3,"Quiet environment, No distractions, Listening to Music",Sometimes,Lack of motivation,"Better focus, Quiet environment, Peer motivation",Too far,Same,Yes - Hostel
B.Tech,Year 3,Male,Hostel,Rarely,>4 hrs,During Exams,3,4,5,"Quiet environment, Comfortable seating, Access to resources (books/Wi-Fi), Listening to Music, Fixed routine",Sometimes,"Mobile phone, Friends / Social interaction, Uncomfortable environment","Better focus, Quiet environment, Resources available","Library is crowded, Time constraints",Significantly more,Yes - Hostel
B.Tech,Year 3,Male,Hostel,Rarely,<2 hrs,No,4,3,3,"Quiet environment, No distractions, Studying with others",Yes,"Mobile phone, Friends / Social interaction, Lack of motivation",Resources available,"Prefer studying at home/hostel, Not useful for me",Significantly more,Yes - Hostel
M.Tech,Year 1,Male,Hostel,Never,<2 hrs,No,2,0,0,"Quiet environment, Listening to Music",Sometimes,Uncomfortable environment,I don't go,Library is crowded,Less,No change
B.Tech,Year 1,Male,Hostel,Sometimes,<2 hrs,No,3,2,4,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi)",Sometimes,"Mobile phone, Noise, Friends / Social interaction, Social media, Lack of motivation, Uncomfortable environment",Quiet environment,"Not comfortable, Not useful for me, Time constraints",Significantly more,Yes - Library
B.Tech,Year 3,Male,Hostel,Never,2-4 hrs,No,3,4,0,"Quiet environment, No distractions, Access to resources (books/Wi-Fi)",Sometimes,"Mobile phone, Friends / Social interaction, Social media",I don't go,Prefer studying at home/hostel,Significantly more,No change
B.Tech,Year 2,Male,Hostel,Never,<2 hrs,During Exams,5,0,0,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi)",Sometimes,"Mobile phone, Friends / Social interaction, Uncomfortable environment",I don't go,"Prefer studying at home/hostel, Library is crowded, Not comfortable",Significantly more,No change
B.Tech,Year 3,Female,Hostel,Sometimes,2-4 hrs,No,3,5,4,Access to resources (books/Wi-Fi),Sometimes,"Mobile phone, Friends / Social interaction, Lack of motivation",Better focus,Library is crowded,Significantly more,Yes - Library
B.Tech,Year 3,Male,Hostel,Sometimes,2-4 hrs,No,3,5,0,"Quiet environment, No distractions, Access to resources (books/Wi-Fi), Studying with others",Yes,Mobile phone,"Better focus, Peer motivation","Prefer studying at home/hostel, Library is crowded",Significantly more,No change
M.Sc,Final Year,Male,Library,Never,<2 hrs,No,5,0,0,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi), Studying with others, Listening to Music, Fixed routine",Yes,"Mobile phone, Noise, Friends / Social interaction, Social media, Lack of motivation, Uncomfortable environment",I don't go,"Library is crowded, Not comfortable, Not useful for me, Time constraints, Too far",Same,Yes - Library
B.Tech,Year 1,Male,Hostel,Rarely,<2 hrs,No,1,2,3,"Quiet environment, No distractions, Comfortable seating, Studying with others, Listening to Music, Fixed routine",Yes,"Mobile phone, Social media",I don't go,"Not comfortable, Not useful for me, Too far",Significantly more,No change
B.Tech,Year 2,Male,Hostel,Rarely,<2 hrs,No,3,0,4,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi), Listening to Music",Sometimes,"Noise, Friends / Social interaction, Social media",I don't go,"Prefer studying at home/hostel, Not comfortable, Not useful for me",Significantly more,No change
B.Tech,Year 1,Female,Hostel,Rarely,2-4 hrs,No,4,3,2,"Quiet environment, Listening to Music, Fixed routine",Yes,Lack of motivation,I don't go,"Prefer studying at home/hostel, Not comfortable",Significantly more,Yes - Hostel
B.Tech,Year 1,Male,Library,Regularly,2-4 hrs,Yes,2,5,3,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi), Fixed routine",No,"Social media, Lack of motivation","Better focus, Quiet environment, Resources available, Habit",Time constraints,Slightly more,No change
B.Tech,Year 2,Prefer not to say,Lab/Classroom,Sometimes,>4 hrs,No,3,4,2,"Quiet environment, No distractions, Comfortable seating",Yes,"Mobile phone, Friends / Social interaction, Social media, Lack of motivation, Uncomfortable environment",Quiet environment,"Library is crowded, Not comfortable",Slightly more,No change
B.Tech,Year 1,Male,Hostel,Never,<2 hrs,No,5,0,3,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi)",Yes,"Mobile phone, Noise, Social media",I don't go,"Prefer studying at home/hostel, Not comfortable, Not useful for me",Significantly more,No change
B.Tech,Year 1,Male,Hostel,Sometimes,<2 hrs,No,1,1,0,"Comfortable seating, Access to resources (books/Wi-Fi), Studying with others, Listening to Music",Yes,Lack of motivation,Resources available,Library is crowded,Significantly more,Yes - Hostel
B.Tech,Year 2,Male,Hostel,Sometimes,>4 hrs,Yes,4,5,1,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi), Listening to Music",Yes,"Mobile phone, Friends / Social interaction, Social media, Lack of motivation, Uncomfortable environment","Better focus, Quiet environment, Peer motivation","Library is crowded, Too far",Slightly more,Yes - Library
B.Tech,Year 1,Male,Hostel,Rarely,<2 hrs,No,3,5,1,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi), Fixed routine",No,"Mobile phone, Noise, Uncomfortable environment",I don't go,"Library is crowded, Too far",Significantly more,No change
B.Tech,Year 1,Female,Hostel,Sometimes,2-4 hrs,During Exams,3,4,4,"Quiet environment, No distractions, Access to resources (books/Wi-Fi)",Sometimes,"Mobile phone, Social media, Uncomfortable environment","Better focus, Quiet environment, Resources available","Prefer studying at home/hostel, Too far",Significantly more,No change
B.Tech,Year 2,Male,Hostel,Never,<2 hrs,During Exams,5,0,3,"Quiet environment, No distractions, Access to resources (books/Wi-Fi)",Yes,"Mobile phone, Noise, Friends / Social interaction, Social media",I don't go,Prefer studying at home/hostel,Significantly more,Yes - Hostel
B.Tech,Year 2,Male,Library,Regularly,<2 hrs,Yes,3,5,4,"Quiet environment, Fixed routine",No,Friends / Social interaction,Habit,"Prefer studying at home/hostel, Library is crowded, Not comfortable, Not useful for me, Time constraints, Too far",Significantly more,No change
B.Tech,Year 1,Female,Hostel,Sometimes,>4 hrs,Yes,4,4,3,"Quiet environment, No distractions",Sometimes,"Mobile phone, Noise, Friends / Social interaction","Better focus, Quiet environment, Peer motivation","Prefer studying at home/hostel, Too far",Significantly more,No change
M.Tech,Year 1,Female,Library,Regularly,<2 hrs,During Exams,2,5,3,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi), Fixed routine",Sometimes,"Friends / Social interaction, Uncomfortable environment","Better focus, Quiet environment, Resources available, Habit",Too far,Significantly more,No change
B.Tech,Year 1,Male,Hostel,Rarely,<2 hrs,During Exams,4,5,0,"No distractions, Comfortable seating, Access to resources (books/Wi-Fi), Studying with others",Sometimes,"Mobile phone, Noise, Social media",Better focus,Prefer studying at home/hostel,Significantly more,No change
B.Tech,Year 1,Male,Hostel,Never,>4 hrs,Yes,5,0,2,"No distractions, Comfortable seating, Access to resources (books/Wi-Fi), Listening to Music, Fixed routine",Sometimes,Mobile phone,I don't go,"Prefer studying at home/hostel, Not useful for me",Slightly more,No change
B.Tech,Year 2,Male,Hostel,Never,<2 hrs,During Exams,4,0,4,"Quiet environment, No distractions, Access to resources (books/Wi-Fi)",Yes,"Noise, Uncomfortable environment",I don't go,"Prefer studying at home/hostel, Library is crowded, Too far",Significantly more,No change
B.Tech,Year 2,Male,Hostel,Rarely,<2 hrs,During Exams,1,4,2,"Quiet environment, Access to resources (books/Wi-Fi), Fixed routine",No,"Mobile phone, Friends / Social interaction",I don't go,"Time constraints, Too far",Significantly more,Yes - Library
B.Tech,Year 1,Male,Hostel,Rarely,<2 hrs,No,3,2,0,Access to resources (books/Wi-Fi),Sometimes,"Friends / Social interaction, Lack of motivation",I don't go,Not useful for me,Significantly more,No change
B.Tech,Year 2,Male,Lab/Classroom,Rarely,<2 hrs,No,0,0,0,"Quiet environment, No distractions, Comfortable seating, Listening to Music",Yes,"Mobile phone, Noise, Friends / Social interaction, Social media, Uncomfortable environment",I don't go,Not useful for me,Significantly more,No change
B.Tech,Year 3,Female,Hostel,Rarely,2-4 hrs,During Exams,3,2,1,"Quiet environment, No distractions, Access to resources (books/Wi-Fi)",Yes,"Mobile phone, Friends / Social interaction, Lack of motivation, Uncomfortable environment",I don't go,"Not comfortable, Too far",Significantly more,No change
B.Tech,Year 2,Male,Hostel,Never,<2 hrs,No,4,0,5,"Comfortable seating, Access to resources (books/Wi-Fi), Listening to Music",No,"Lack of motivation, Uncomfortable environment",I don't go,Prefer studying at home/hostel,Significantly more,No change
M.Tech,PhD,Male,Hostel,Regularly,>4 hrs,No,2,2,2,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi), Studying with others, Listening to Music, Fixed routine",Yes,"Mobile phone, Noise, Friends / Social interaction, Social media, Lack of motivation, Uncomfortable environment","Better focus, Quiet environment, Peer motivation, Resources available, Habit, I don't go","Prefer studying at home/hostel, Library is crowded, Not comfortable, Not useful for me, Time constraints, Too far",Less,No change
M.Sc,Year 4,Male,Hostel,Never,<2 hrs,No,3,3,2,"Quiet environment, Comfortable seating, Access to resources (books/Wi-Fi), Listening to Music, Fixed routine",Yes,"Noise, Friends / Social interaction, Social media, Uncomfortable environment","Quiet environment, Peer motivation, Habit","Prefer studying at home/hostel, Not useful for me, Time constraints",Slightly more,Yes - Library
B.Tech,Year 1,Male,Hostel,Sometimes,2-4 hrs,During Exams,4,3,3,"Quiet environment, No distractions, Comfortable seating",Yes,"Mobile phone, Friends / Social interaction, Social media","Better focus, Quiet environment, Peer motivation","Prefer studying at home/hostel, Not comfortable",Significantly more,Yes - Library
B.Tech,Year 2,Male,Library,Sometimes,2-4 hrs,No,1,5,0,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi), Listening to Music",Sometimes,"Mobile phone, Social media",Habit,"Prefer studying at home/hostel, Time constraints, Too far",Same,Yes - Hostel
B.Tech,Year 2,Female,Hostel,Rarely,<2 hrs,No,4,1,4,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi), Studying with others, Listening to Music",Yes,"Mobile phone, Social media, Uncomfortable environment",I don't go,"Library is crowded, Not comfortable",Significantly more,Yes - Hostel
B.Tech,Year 2,Male,Hostel,Never,<2 hrs,No,4,0,1,"Quiet environment, No distractions, Access to resources (books/Wi-Fi)",Sometimes,"Mobile phone, Friends / Social interaction, Lack of motivation",I don't go,"Prefer studying at home/hostel, Not comfortable, Too far",Significantly more,No change
B.Tech,Year 2,Male,Hostel,Sometimes,2-4 hrs,During Exams,3,4,0,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi)",Yes,"Mobile phone, Friends / Social interaction, Social media, Lack of motivation","Better focus, Quiet environment, Peer motivation, Resources available",Library is crowded,Significantly more,Yes - Library
B.Tech,Year 2,Male,Hostel,Never,<2 hrs,During Exams,4,4,1,"Quiet environment, No distractions, Comfortable seating",Yes,"Mobile phone, Noise, Friends / Social interaction, Social media, Uncomfortable environment",I don't go,"Prefer studying at home/hostel, Not comfortable, Time constraints, Too far",Significantly more,No change
B.Tech,Year 2,Male,Hostel,Sometimes,<2 hrs,No,4,2,1,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi), Fixed routine",Yes,"Mobile phone, Friends / Social interaction, Lack of motivation","Better focus, Quiet environment, Peer motivation, Resources available","Prefer studying at home/hostel, Library is crowded, Too far",Significantly more,No change
B.Tech,Year 2,Male,Hostel,Never,<2 hrs,During Exams,3,0,0,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi)",Yes,"Mobile phone, Noise, Friends / Social interaction, Social media, Lack of motivation, Uncomfortable environment",I don't go,Library is crowded,Less,No change
B.Tech,Year 2,Male,Hostel,Sometimes,<2 hrs,No,1,0,1,"Quiet environment, No distractions, Comfortable seating, Access to resources (books/Wi-Fi)",Sometimes,"Mobile phone, Noise, Friends / Social interaction",Better focus,"Prefer studying at home/hostel, Library is crowded",Slightly more,No change
B.Tech,Year 1,Female,Library,Regularly,2-4 hrs,Yes,4,4,0,"Quiet environment, No distractions, Comfortable seating",Sometimes,Mobile phone,"Better focus, Quiet environment, Habit",,Significantly more,No change
B.Tech,Year 3,Prefer not to say,Library,Sometimes,<2 hrs,Yes,2,4,3,"Fixed routine, Studying with others, Comfortable seating, Access to resources (books/Wi-Fi)",Sometimes,"Uncomfortable environment, Social media","Habit, Quiet environment, Peer motivation","Not comfortable, Library is crowded",Same,Yes - Hostel
B.Tech,Year 3,Female,Library,Regularly,2-4 hrs,Yes,2,4,2,"No distractions, Listening to Music, Access to resources (books/Wi-Fi)",Yes,"Mobile phone, Lack of motivation","Peer motivation, I don't go, Habit, Better focus","Time constraints, Too far",Slightly more,Yes - Hostel
B.Tech,Year 1,Female,Hostel,Rarely,2-4 hrs,During Exams,4,0,4,"Access to resources (books/Wi-Fi), Comfortable seating, Listening to Music",Yes,"Uncomfortable environment, Noise","Habit, Resources available","Prefer studying at home/hostel, Too far",Same,Yes - Library
B.Tech,Year 1,Prefer not to say,Library,Sometimes,2-4 hrs,No,2,5,2,"Access to resources (books/Wi-Fi), Quiet environment",Yes,"Mobile phone, Noise, Lack of motivation","Peer motivation, Quiet environment","Too far, Prefer studying at home/hostel, Time constraints",Same,Yes - Hostel
B.Tech,Year 3,Male,Library,Regularly,<2 hrs,During Exams,3,4,5,"Quiet environment, Studying with others, Listening to Music",No,"Uncomfortable environment, Friends / Social interaction, Mobile phone","Resources available, I don't go","Prefer studying at home/hostel, Too far, Not comfortable",Same,Yes - Library
B.Tech,Year 1,Male,Library,Sometimes,2-4 hrs,Yes,3,3,4,"Quiet environment, No distractions",Yes,"Friends / Social interaction, Uncomfortable environment, Social media, Noise","Peer motivation, Quiet environment, Resources available, Better focus",Time constraints,Same,No change
B.Tech,Year 1,Prefer not to say,Library,Sometimes,<2 hrs,No,4,4,5,"Quiet environment, Access to resources (books/Wi-Fi)",No,"Mobile phone, Lack of motivation","I don't go, Better focus, Resources available","Time constraints, Not comfortable",Same,Yes - Library
B.Tech,Year 1,Male,Library,Regularly,<2 hrs,During Exams,2,3,3,"Comfortable seating, Fixed routine, Access to resources (books/Wi-Fi)",Sometimes,"Uncomfortable environment, Friends / Social interaction","I don't go, Habit, Peer motivation, Quiet environment","Library is crowded, Not useful for me",Slightly more,Yes - Library
B.Tech,Year 1,Female,Library,Regularly,>4 hrs,Yes,3,3,2,"Fixed routine, No distractions, Studying with others, Quiet environment",Sometimes,"Social media, Mobile phone, Noise, Lack of motivation","Resources available, Habit, Better focus","Prefer studying at home/hostel, Not comfortable, Time constraints",Slightly more,Yes - Hostel
B.Tech,Year 3,Female,Library,Regularly,<2 hrs,Yes,3,4,3,"Studying with others, Listening to Music, No distractions",No,"Uncomfortable environment, Lack of motivation, Noise, Mobile phone","Quiet environment, Better focus, Peer motivation","Time constraints, Too far, Prefer studying at home/hostel",Significantly more,Yes - Hostel
B.Tech,Year 3,Prefer not to say,Library,Sometimes,2-4 hrs,No,4,4,5,"Listening to Music, Comfortable seating",Yes,"Noise, Mobile phone, Uncomfortable environment, Social media","Resources available, Peer motivation","Not comfortable, Time constraints, Too far",Same,Yes - Library
B.Tech,Year 3,Male,Hostel,Sometimes,<2 hrs,No,3,3,3,"Studying with others, Access to resources (books/Wi-Fi), Listening to Music, Fixed routine",Sometimes,"Uncomfortable environment, Social media, Noise","Peer motivation, Habit","Not comfortable, Library is crowded, Too far",Significantly more,No change
B.Tech,Year 1,Female,Hostel,Rarely,2-4 hrs,No,3,0,2,"Studying with others, Fixed routine, Listening to Music",Sometimes,"Lack of motivation, Noise, Friends / Social interaction","Quiet environment, Resources available","Not comfortable, Too far",Slightly more,Yes - Library
B.Tech,Year 1,Male,Lab/Classroom,Rarely,<2 hrs,During Exams,2,0,2,"Fixed routine, Listening to Music",Sometimes,"Lack of motivation, Friends / Social interaction, Social media","Better focus, Habit, I don't go, Peer motivation","Too far, Library is crowded",Slightly more,No change
B.Tech,Year 3,Male,Lab/Classroom,Regularly,2-4 hrs,Yes,3,3,4,"Listening to Music, Fixed routine, Comfortable seating, Quiet environment",Sometimes,"Friends / Social interaction, Noise","Resources available, Quiet environment, Better focus","Prefer studying at home/hostel, Not useful for me",Same,Yes - Hostel
B.Tech,Year 3,Prefer not to say,Library,Sometimes,<2 hrs,During Exams,2,4,2,"No distractions, Fixed routine, Quiet environment, Comfortable seating",No,"Social media, Mobile phone","Habit, Peer motivation","Not useful for me, Time constraints, Prefer studying at home/hostel",Slightly more,Yes - Library
B.Tech,Year 1,Male,Library,Sometimes,2-4 hrs,No,2,5,2,"Comfortable seating, Access to resources (books/Wi-Fi), Listening to Music, Quiet environment",Yes,"Mobile phone, Friends / Social interaction","Habit, Peer motivation, Better focus, Quiet environment","Library is crowded, Not useful for me, Not comfortable",Significantly more,No change
B.Tech,Year 1,Female,Hostel,Rarely,<2 hrs,During Exams,2,0,5,"Listening to Music, Comfortable seating, Studying with others, Fixed routine",No,"Mobile phone, Friends / Social interaction, Social media","Peer motivation, Resources available, Habit, Quiet environment","Too far, Not comfortable",Same,Yes - Hostel
B.Tech,Year 3,Male,Library,Regularly,2-4 hrs,Yes,3,5,3,"Quiet environment, Listening to Music",No,"Lack of motivation, Mobile phone, Uncomfortable environment","Quiet environment, Habit",Not useful for me,Slightly more,Yes - Library
B.Tech,Year 3,Male,Hostel,Never,<2 hrs,No,2,0,2,"Fixed routine, Studying with others",No,"Uncomfortable environment, Mobile phone, Social media, Friends / Social interaction","Quiet environment, Peer motivation, I don't go",Not comfortable,Slightly more,Yes - Hostel
